species,F.cm.maxSVL/CL,M.cm.maxSVL/CL,dataset,Notes for exception
Trachemys_ornata,38.7,35.05,Legler 1990; Legler and Vogt 2013,
Trachemys_stejnegeri,27.53333333,21.8,Turtle Taxonomy Working Group 2021,
Trachemys_taylori,21.8,17.9,Legler 1990; Ceballos et al. 2013; Legler and Vogt 2013,
Trachemys_venusta,43.2,34.55,Turtle Taxonomy Working Group 2021,
Trachemys_yaquia,30.9,26.8,Legler 1990; Ceballos et al. 2013; Legler and Vogt 2013,
Actinemys_marmorata,18.44333333,20.65,Lubcke and Wilson 2007; Bury and Germano 2008 CBFTT; Ernst and Lovich 2009,
Actinemys_pallida,16.4,17.9,Germano and Riedle 2015,
Clemmys_guttata,12.42,12.28333333,Klemens 1993; Graham 1995; unsexed: Taylor 1991,
Emydoidea_blandingii,23.11333333,25.71333333,Blasus et al. 2004; Congdon et al. 2008 CBFTT; Ceballos et al. 2013,
Emys_orbicularis,19.87666667,17.98,Turtle Taxonomy Working Group 2021,
Emys_trinacris,16.35,15.4,"Fritz et al. 2006d; Ceballos et al. 2013; Ottonello, unpubl. Data",
Terrapene_carolina,18.3,21.2,Ernst and Lovich 2009,
Terrapene_coahuila,16.03666667,17.75,Howeth and Brown 2011 CBFTT,
Terrapene_nelsoni,14.9,15.9,Turtle Taxonomy Working Group 2021,
Terrapene_ornata,16.13333333,15.7,Ernst and Lovich 2009; Legler and Vogt 2013,
Platysternon_megacephalum,19.52,22.795,Turtle Taxonomy Working Group 2021,
Batagur_affinis,62.5,50.2,Turtle Taxonomy Working Group 2021,
Batagur_baska,59.33333333,49.73333333,Moll et al. 2009 CBFTT; Praschag and Singh 2019 IUCN,
Batagur_borneoensis,68,42.5,DeRooij 1915; Bonin et al. 2006; Ernst et al. 2006b; Itescu et al. 2014,
Batagur_dhongoka,47,26,Shrestha 1997; Ceballos et al. 2013,
Batagur_kachuga,56,29,Praschag et al. 2019 IUCN,
Batagur_trivittata,60,46,Smith 1931; Platt et al. 2019b,
Geoclemys_hamiltonii,40.5,39.2,Rashid and Swingland 1997; Das and Bhupathy 2010 CBFTT; Baruah et al. 2012,
Hardella_thurjii,57.83333333,19.63333333,Rashid and Swingland 1997; Das and Bhupathy 2009a CBFTT; Baruah et al. 2012,
Malayemys_khoratensis,20.6,15.5,Sumontha et al. 2016; Ihlow et al. 2016,
Malayemys_macrocephala,20.46666667,14.55666667,Dawson et al. 2018 CBFTT; Ihlow et al. 2016,
Malayemys_subtrijuga,22,18.33333333,Platt et al. 2008,
Morenia_ocellata,22.45,15.25,Das 2010 CBFTT,
Pangshura_smithii,24,11.25,Turtle Taxonomy Working Group 2021,
Pangshura_sylhetensis,21,9.8,"Das et al. 2010 CBFTT; Baruah et al. 2012, 2016",
Pangshura_tecta,28.15,24.4,Agarwal et al. 1986,
Pangshura_tentoria,25.55,14,Turtle Taxonomy Working Group 2021,
Siebenrockiella_crassicollis,20,20.3,Le 2007; Itescu et al. 2014,
Siebenrockiella_leytensis,21.2,29.9,Diesmos et al. 2012 CBFTT,
Cuora_amboinensis,25,23.3,Turtle Taxonomy Working Group 2021,
Cuora_aurocapitata,19.5,13.5,Turtle Taxonomy Working Group 2021,
Cuora_bourreti,20.8,19.4,"Hagen, unpubl. Data",
Cuora_cyclornata,35,26,Turtle Taxonomy Working Group 2021,
Cuora_flavomarginata,18.01666667,17.45,Turtle Taxonomy Working Group 2021,
Cuora_galbinifrons,20.4,18.6,"Itescu et al. 2014; Iverson, unpubl. data",
Cuora_mccordi,19.5,18.4,"Ceballos et al. 2013; Blanck, unpubl. data",
Cuora_mouhotii,23.7,25.7,Turtle Taxonomy Working Group 2021,
Cuora_pani,17.75,12.9,"Song 1984; Ernst and McCord 1987; Blanck, unpubl. data",
Cuora_picturata,19.2,18.9,"Itescu et al. 2014; Blanck, unpubl. data",
Cuora_trifasciata,23.15,20.1,Turtle Taxonomy Working Group 2021,
Cuora_yunnanensis,19,15.2,"Blanck et al. 2006b; Blanck, unpubl. data",
Cuora_zhoui,22.3,17,"Blanck, unpubl. data",
Cyclemys_atripons,23,19.3,"Fritz et al. 2008b; Iverson, unpubl. data",
Cyclemys_dentata,21,19.6,"Fritz et al. 2008b; Iverson, unpubl. data",
